state,county,pop2018,65plus2018,dens2019,cases,first_case,deaths,first_death,stay_home_date,r_percent,d_percent,g_percent,l_percent,poverty,obesity
Alabama,Autauga County,55601,8653,93.54,609.0,2020-03-24,23.0,2020-04-08,2020-04-04,73.4357893029,23.9568549532,0.425773488504,2.18158225538,10.45,0.305
Alabama,Baldwin County,218022,44571,137.14,2283.0,2020-03-14,21.0,2020-04-18,2020-04-04,77.3514719949,19.5653098098,0.481453927091,2.60176426825,12.05,0.266
Alabama,Barbour County,24881,4832,28.11,357.0,2020-04-03,0.0,,2020-04-04,52.2714148219,46.6602502406,0.173243503369,0.895091434071,24.85,0.373
Alabama,Bibb County,22400,3690,35.99,492.0,2020-03-31,0.0,,2020-04-04,76.9661636946,21.4220393233,0.194330132602,1.41746684957,12.25,0.343
Alabama,Blount County,57840,10548,89.7,478.0,2020-03-25,0.0,,2020-04-04,89.851875197,8.46990230066,0.350614560353,1.32760794201,12.2,0.304
Alabama,Bullock County,10138,1661,16.28,186.0,2020-03-26,0.0,,2020-04-04,24.2288874708,75.0904062965,0.212720697724,0.467985534993,28.8,0.421
Alabama,Butler County,19680,3995,25.33,262.0,2020-03-25,1.0,2020-04-26,2020-04-04,56.3154864709,42.7864133564,0.149683362119,0.748416810593,23.5,0.383
Alabama,Calhoun County,114277,20247,188.62,1540.0,2020-03-18,25.0,2020-04-17,2020-04-04,69.2396994259,27.8558763931,0.553022627491,2.35140155353,18.5,0.332
Alabama,Chambers County,33615,6562,56.35,5104.0,2020-03-19,254.0,2020-03-29,2020-04-04,56.6337639715,41.8275511685,0.319349687908,1.21933517201,18.15,0.354
Alabama,Cherokee County,26032,5980,47.03,245.0,2020-03-25,0.0,,2020-04-04,83.8712748738,14.51013996,0.238027230315,1.38055793583,16.1,0.314
Alabama,Chilton County,44153,7411,63.73,882.0,2020-03-25,4.0,2020-04-23,2020-04-04,82.5417693783,15.9353601753,0.284853464804,1.23801698165,17.8,0.383
Alabama,Choctaw County,12841,2953,14.06,330.0,2020-03-26,0.0,,2020-04-04,56.4391854706,42.7765547606,0.0825536598789,0.701706108971,20.75,0.389
Alabama,Clarke County,23920,4753,19.31,442.0,2020-04-01,6.0,2020-04-21,2020-04-04,54.9551638837,44.1558441558,0.131416202845,0.757575757576,27.65,0.36
Alabama,Clay County,13275,2751,21.98,362.0,2020-03-25,4.0,2020-04-23,2020-04-04,79.5800365186,18.7766281193,0.243457090688,1.39987827145,18.25,0.353
